+----------------------------------+  
|                                  |  
|     CCSIO Benchmark, 1.5.4.0     |  
|                                  |  
+----------------------------------+  
                                
Recorded                        2025/06/23 23:43:13
Platform                        2.6.1.7601.-.-.-.1.1.1 / 64 bit
MD5(MachineGuid)                daf7fe8fc0c96a65f2fc11327a14fd8b
                                
Volume.file_system              FAT32
Volume.type                     Simple
                                
Device.type                     HDD
Device.vendor                   PSS_LAB
Device.model                    PHANTOM
Device.bus                      6 / 6
Device.controller               Demo StorPort Virtual Adapter
                                
Test.path                       F:\
Test.remote                     No
Test.file.size                  3221225472
Test.io.buffer_sizes            1024 2048 4096 8192 16384 32768 65536 131072 262144 524288 1048576 2097152 4194304 8388608 16777216 33554432 67108864 
Test.io.buffer_counts           1 2 4 8 12 16 24 32 
Test.io.memory_cap              268435456
Test.duration                   1000
Test.order                      3
Test.cache_trim                 2
                                
Test.read.modes                 0x13
Test.read.fill                  random
Test.write.modes                0x03
Test.write.fill                 random
Test.write.flush                No
                                
Read.tests                      375 / 375
Read.tests.failed               -
Read.best.speed.binary          14292.3 MBps
Read.best.speed.decimal         14986.5 MBps
Read.best.io                    4 x 524288 bytes, raw seq
Read.99_perc                    1
Read.95_perc                    2
                                
Write.tests                     250 / 250
Write.tests.failed              -
Write.best.speed.binary         10290.8 MBps
Write.best.speed.decimal        10790.7 MBps
Write.best.io                   4 x 262144 bytes, raw    
Write.99_perc                   1
Write.95_perc                   1
                                
--- Read measurements ---       
                                
   1  |   1 x      1024  |  raw      |       87.1 MBps       91.3 MBps  |  +      
   2  |   1 x      1024  |  raw seq  |       85.0 MBps       89.1 MBps  |         
   3  |   1 x      1024  |  buf seq  |      361.9 MBps      379.4 MBps  |  +      
   4  |   2 x      1024  |  raw      |      116.3 MBps      121.9 MBps  |         
   5  |   2 x      1024  |  raw seq  |      135.1 MBps      141.7 MBps  |         
   6  |   2 x      1024  |  buf seq  |      390.9 MBps      409.9 MBps  |  +      
   7  |   4 x      1024  |  raw      |       61.5 MBps       64.5 MBps  |         
   8  |   4 x      1024  |  raw seq  |      145.0 MBps      152.0 MBps  |         
   9  |   4 x      1024  |  buf seq  |      396.8 MBps      416.1 MBps  |  +      
  10  |   8 x      1024  |  raw      |      170.0 MBps      178.3 MBps  |         
  11  |   8 x      1024  |  raw seq  |      176.8 MBps      185.4 MBps  |         
  12  |   8 x      1024  |  buf seq  |      408.5 MBps      428.4 MBps  |  +      
  13  |  12 x      1024  |  raw      |       57.0 MBps       59.8 MBps  |         
  14  |  12 x      1024  |  raw seq  |      164.1 MBps      172.0 MBps  |         
  15  |  12 x      1024  |  buf seq  |      407.6 MBps      427.4 MBps  |         
  16  |  16 x      1024  |  raw      |      167.1 MBps      175.2 MBps  |         
  17  |  16 x      1024  |  raw seq  |      162.1 MBps      170.0 MBps  |         
  18  |  16 x      1024  |  buf seq  |      412.0 MBps      432.0 MBps  |  +      
  19  |  24 x      1024  |  raw      |       66.0 MBps       69.2 MBps  |         
  20  |  24 x      1024  |  raw seq  |      115.0 MBps      120.6 MBps  |         
  21  |  24 x      1024  |  buf seq  |      407.0 MBps      426.8 MBps  |         
  22  |  32 x      1024  |  raw      |       71.4 MBps       74.9 MBps  |         
  23  |  32 x      1024  |  raw seq  |       79.6 MBps       83.5 MBps  |         
  24  |  32 x      1024  |  buf seq  |      414.8 MBps      435.0 MBps  |  +      
  25  |   1 x      2048  |  raw      |      165.8 MBps      173.9 MBps  |         
  26  |   1 x      2048  |  raw seq  |      168.5 MBps      176.7 MBps  |         
  27  |   1 x      2048  |  buf seq  |      639.6 MBps      670.7 MBps  |  +      
  28  |   2 x      2048  |  raw      |      124.6 MBps      130.7 MBps  |         
  29  |   2 x      2048  |  raw seq  |      169.3 MBps      177.5 MBps  |         
  30  |   2 x      2048  |  buf seq  |      678.3 MBps      711.2 MBps  |  +      
